age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,nativecountry,class
39,5,77516,9,13,4,0,1,4,1,2174,0,40,38,0
50,4,83311,9,13,2,3,0,4,1,0,0,13,38,0
38,2,215646,11,9,0,5,1,4,1,0,0,40,38,0
53,2,234721,1,7,2,5,0,2,1,0,0,40,38,0
28,2,338409,9,13,2,9,5,2,0,0,0,40,4,0
37,2,284582,12,14,2,3,5,4,0,0,0,40,38,0
49,2,160187,6,5,3,7,1,2,0,0,0,16,22,0
52,4,209642,11,9,2,3,0,4,1,0,0,45,38,1
31,2,45781,12,14,4,9,1,4,0,14084,0,50,38,1
42,2,159449,9,13,2,3,0,4,1,5178,0,40,38,1
37,2,280464,15,10,2,3,0,2,1,0,0,80,38,1
30,5,141297,9,13,2,9,0,1,1,0,0,40,18,1
23,2,122272,9,13,4,0,3,4,0,0,0,30,38,0
32,2,205019,7,12,4,11,1,2,1,0,0,50,38,0
34,2,245487,5,4,2,13,0,0,1,0,0,45,25,0
25,4,176756,11,9,4,4,3,4,1,0,0,35,38,0
32,2,186824,11,9,4,6,4,4,1,0,0,40,38,0
38,2,28887,1,7,2,11,0,4,1,0,0,50,38,0
43,4,292175,12,14,0,3,4,4,0,0,0,45,38,1
40,2,193524,10,16,2,9,0,4,1,0,0,60,38,1
54,2,302146,11,9,5,7,4,2,0,0,0,20,38,0
35,0,76845,6,5,2,4,0,2,1,0,0,40,38,0
43,2,117037,1,7,2,13,0,4,1,0,2042,40,38,0
59,2,109015,11,9,0,12,4,4,0,0,0,40,38,0
56,1,216851,9,13,2,12,0,4,1,0,0,40,38,1
19,2,168294,11,9,4,2,3,4,1,0,0,40,38,0
39,2,367260,11,9,0,3,1,4,1,0,0,80,38,0
49,2,193366,11,9,2,2,0,4,1,0,0,40,38,0
23,1,190709,7,12,4,10,1,4,1,0,0,52,38,0
20,2,266015,15,10,4,11,3,2,1,0,0,44,38,0
45,2,386940,9,13,0,3,3,4,1,0,1408,40,38,0
30,0,59951,15,10,2,0,3,4,1,0,0,40,38,0
22,5,311512,15,10,2,7,0,2,1,0,0,15,38,0
48,2,242406,1,7,4,6,4,4,1,0,0,40,32,0
21,2,197200,15,10,4,6,3,4,1,0,0,40,38,0
19,2,544091,11,9,1,0,5,4,0,0,0,25,38,0
48,4,265477,7,12,2,9,0,4,1,0,0,40,38,0
31,2,507875,6,5,2,6,0,4,1,0,0,43,38,0
53,4,88506,9,13,2,9,0,4,1,0,0,40,38,0
24,2,172987,9,13,2,12,0,4,1,0,0,50,38,0
49,2,94638,11,9,5,0,4,4,0,0,0,40,38,0
25,2,289980,11,9,4,5,1,4,1,0,0,35,38,0
57,0,337895,9,13,2,9,0,2,1,0,0,40,38,1
53,2,144361,11,9,2,6,0,4,1,0,0,38,38,0
44,2,128354,12,14,0,3,4,4,0,0,0,40,38,0
41,5,101603,8,11,2,2,0,4,1,0,0,40,38,0
29,2,271466,8,11,4,9,1,4,1,0,0,43,38,0
25,2,32275,15,10,2,3,5,3,0,0,0,40,38,0
47,2,51835,14,15,2,9,5,4,0,0,1902,60,15,1
50,0,251585,9,13,0,3,1,4,1,0,0,55,38,1
47,3,109832,11,9,0,3,1,4,1,0,0,60,38,0
43,2,237993,15,10,2,12,0,4,1,0,0,40,38,1
46,2,216666,4,3,2,6,0,4,1,0,0,40,25,0
35,2,56352,8,11,2,7,0,4,1,0,0,40,32,0
41,2,147372,11,9,2,0,0,4,1,0,0,48,38,0
30,2,188146,11,9,2,6,0,4,1,5013,0,40,38,0
30,2,59496,9,13,2,11,0,4,1,2407,0,40,38,0
48,2,149640,11,9,2,13,0,4,1,0,0,40,38,0
42,2,116632,10,16,2,9,0,4,1,0,0,45,38,1
29,2,105598,15,10,0,12,1,4,1,0,0,58,38,0
36,2,155537,11,9,2,2,0,4,1,0,0,40,38,0
28,2,183175,15,10,0,0,1,4,0,0,0,40,38,0
53,2,169846,11,9,2,0,5,4,0,0,0,40,38,1
49,3,191681,15,10,2,3,0,4,1,0,0,50,38,1
19,2,101509,15,10,4,9,3,4,1,0,0,32,38,0
31,2,309974,9,13,5,11,3,2,0,0,0,40,38,0
29,4,162298,9,13,2,11,0,4,1,0,0,70,38,1
23,2,211678,15,10,4,6,1,4,1,0,0,40,38,0
79,2,124744,15,10,2,9,2,4,1,0,0,20,38,0
27,2,213921,11,9,4,7,3,4,1,0,0,40,25,0
40,2,32214,7,12,2,0,0,4,1,0,0,40,38,0
18,2,309634,1,7,4,7,3,4,0,0,0,22,38,0
31,1,125927,5,4,2,4,0,4,1,0,0,40,38,0
18,2,446839,11,9,4,11,1,4,1,0,0,30,38,0
52,2,276515,9,13,2,7,0,4,1,0,0,40,4,0
46,2,51618,11,9,2,7,5,4,0,0,0,40,38,0
59,2,159937,11,9,2,11,0,4,1,0,0,48,38,0
